"Symbol"	"logFC"	"adj.P.Val"	"P.Value"	"t"
"FAM96A"	-0.672328571428571	0.00354362687804004	7.48832863792748e-08	-8.49028137006764
"UQCRH"	-0.575808571428572	0.0159913290540202	6.7585178369554e-07	-7.30375860343946
"MFGE8"	0.530097142857143	0.0182777988960568	1.2315279521704e-06	6.99669533563344
"BOLA3"	-0.583811428571429	0.0182777988960568	1.5449726466385e-06	-6.88232737443253
"ATP5L"	-0.479831428571429	0.0210498396157983	2.36766609435589e-06	-6.66938269917729
"PHKB"	-0.394468571428572	0.0210498396157983	2.66892856799775e-06	-6.61017864535236
"MTX2"	-0.426851428571428	0.0224662641840546	3.74397746366579e-06	-6.44410636736806
"BOLA3"	-0.597331428571429	0.0224662641840546	3.96291114648911e-06	-6.41639749876552
"TBC1D7"	-0.387811428571429	0.0224662641840546	4.30341423880757e-06	-6.37629472964456
"CISD1"	-0.439168571428572	0.0224662641840546	4.74753057437442e-06	-6.32864600921862
"NEDD1"	-0.318548571428571	0.0254340478999836	6.15219073080631e-06	-6.20359128050081
"FAM65C"	0.336988571428571	0.0254340478999836	6.76274018716449e-06	6.15818053344303
"FH"	-0.364077142857144	0.0254340478999836	6.98708048475945e-06	-6.14254783464041
"UQCRB"	-0.378568571428571	0.0268626987369894	8.13460736352475e-06	-6.06990285565421
"HOXB2"	-0.687882857142857	0.0268626987369894	8.55748908448633e-06	-6.04576343921052
"AIFM1"	-0.313831428571428	0.0268626987369894	9.76549727699619e-06	-5.98303112111381
"MRPL15"	-0.441391428571428	0.0268626987369894	1.01257236325109e-05	-5.96586351607494
"GOT2"	-0.69726	0.0268626987369894	1.04083753425775e-05	-5.95282700694119
"FAM162A"	-0.47966	0.0268626987369894	1.0785496724627e-05	-5.93598902959599
"CCNG1"	-0.457408571428572	0.0274722299304566	1.16107645198667e-05	-5.90116113742231
"TMEM126A"	-0.461911428571428	0.0321964813667011	1.42877754258215e-05	-5.8035359243966
"CISD1"	-0.339377142857142	0.0324268506222529	1.50752443618098e-05	-5.7783802657225
"PDHX"	-0.508722857142857	0.036937457456059	1.98744360967889e-05	-5.64935047016433
"ACN9"	-0.34654	0.036937457456059	2.04368894035341e-05	-5.63637292683812
"BTNL9"	-0.491745714285714	0.036937457456059	2.07929978815679e-05	-5.6283443819838
"ZYG11B"	-0.368077142857143	0.036937457456059	2.09693524293879e-05	-5.62442047368938
"PAQR4"	-0.58338	0.036937457456059	2.13332467474567e-05	-5.61642962574922
"C6orf136"	-0.402817142857143	0.036937457456059	2.18555599672383e-05	-5.60520094681925
"HEBP2"	-0.416842857142858	0.0394269526016091	2.52430629364564e-05	-5.53844961530598
"HIGD1A"	-0.331434285714286	0.0394269526016091	2.52704086649343e-05	-5.53794895543327
"ST3GAL3"	-0.342862857142857	0.0394269526016091	2.67189788050245e-05	-5.51219183973836
"UBA1"	0.321002857142858	0.0394269526016091	2.68490465968153e-05	5.50994947802672
"SIRT5"	-0.417211428571428	0.0394269526016091	2.74943881461709e-05	-5.4989858644936
"MRPS33"	-0.400185714285714	0.0395710828729532	2.84311064130935e-05	-5.48353219414861
"MTIF2"	-0.412425714285714	0.0413672413760885	3.0595778880079e-05	-5.44972760196826
"HCCS"	-0.356537142857143	0.0420645274831871	3.20004012804771e-05	-5.42907775094217
"DCUN1D5"	-0.302514285714286	0.0442669274517755	3.46113079691411e-05	-5.39304713831553
"IMMT"	-0.393085714285714	0.0477970873873694	3.9699421821655e-05	-5.33019467527263
"DECR1"	-0.614574285714286	0.0477970873873694	3.98196955108351e-05	-5.3288106304621
"TALDO1"	0.269805714285715	0.0477970873873694	4.04015784517724e-05	5.32217442861352
"C20orf7"	-0.404845714285714	0.0498728723809182	4.32100876467108e-05	-5.29145979156012
"TMEM99"	-0.375054285714286	0.0528652783734795	4.69198616222082e-05	-5.25387723058402
"PDK2"	-0.374228571428571	0.0535488745994791	4.96029762134793e-05	-5.22854119741027
"AMHR2"	-0.566657142857143	0.0535488745994791	4.97897485815705e-05	-5.22682999385098
"UCRC"	-0.560651428571429	0.0544285621278659	5.26995593797178e-05	-5.20098545456643
"FAM96A"	-0.616157142857142	0.0544285621278659	5.31729852871982e-05	-5.19691879238777
"C10orf59"	-0.391805714285714	0.0544285621278659	5.40582059086619e-05	-5.18941308392245
"DCAF6"	-0.47078	0.0564316642844185	5.72401818530934e-05	-5.16343262179605
"IDI1"	-0.47922	0.0591483366602435	6.13160796758849e-05	-5.13222708549908
"NDUFV2"	-0.403591428571428	0.0591483366602435	6.24956010526219e-05	-5.12359065557035
"SNRNP70"	0.353237142857143	0.0608262674241871	6.55538573736009e-05	5.10195019458358
"PLSCR3"	-0.282757142857143	0.0626309373986702	6.97155034434183e-05	-5.07410033015116
"C18orf55"	-0.389157142857143	0.0626309373986702	7.01458028428536e-05	-5.07131800159941
"USP54"	0.417111428571428	0.0633688250997434	7.23113257129061e-05	5.05757464778402
"DBNDD2"	-0.335722857142858	0.0654695524892996	7.62084219656383e-05	-5.0338667569222
"SNRNP70"	0.342448571428572	0.0654695524892996	7.74754858078859e-05	5.02642402445413
"LYRM7"	-0.366828571428571	0.066091416765965	7.96080207019992e-05	-5.01417315618742
"UQCRHL"	-0.444294285714287	0.0674581626805899	8.26797987294326e-05	-4.99710181375885
"STAMBP"	-0.305477142857144	0.0699209924736416	8.82943195497603e-05	-4.96750550573527
"OR7E37P"	-0.605671428571428	0.0699209924736416	8.86534708680634e-05	-4.96567800756457
"HBXIP"	-0.255308571428571	0.0724636420092659	9.34086083125232e-05	-4.94216829250298
"DNAJC19"	-0.393968571428571	0.0730374648504264	9.56917040853396e-05	-4.93130995304425
"LOC729769"	-0.531557142857142	0.0761833847363218	0.000102149182809826	-4.90196913430865
"C22orf13"	-0.39026	0.0761833847363218	0.00010303319012562	-4.8981000151415
"BRP44L"	-0.504825714285715	0.0763722172931645	0.000107726749121682	-4.87810678736856
"LOC348840"	1.58915142857143	0.0763722172931645	0.000108465948623126	4.87503896349474
"RHOQ"	-0.417837142857144	0.0763722172931645	0.000111043486229965	-4.86450554202136
"CS"	-0.351111428571429	0.0763722172931645	0.000112632512547154	-4.85813494408579
"PET112L"	-0.336834285714285	0.0763722172931645	0.00011515095120825	-4.84822303035545
"PAAF1"	0.398177142857143	0.0763722172931645	0.000115196496091534	4.84804581298487
"C18orf55"	-0.463371428571429	0.0763722172931645	0.000116407482206481	-4.84335974559753
"BTBD8"	-0.344668571428571	0.0763722172931645	0.000117484276603504	-4.83923437976901
"NUP85"	0.36994	0.0763722172931645	0.000119409741260129	4.83195251742765
"CITED4"	-0.35988	0.0763722172931645	0.000121160106906002	-4.82543565946897
"CKMT2"	-0.803108571428572	0.0763722172931645	0.000122625396389173	-4.82005332385706
"LOC649276"	-0.477742857142857	0.0763722172931645	0.000122655181824109	-4.81994459420557
"TATDN3"	-0.28638	0.0777259483167493	0.000126471789450778	-4.80622975145266
"RNASEH2C"	0.243637142857143	0.0789317491359291	0.000130937498814681	4.79070640940957
"HDDC2"	-0.399834285714286	0.0789317491359291	0.000131769751526529	-4.78787292864554
"LYRM5"	-0.361154285714286	0.0804253652633125	0.000138482872727548	-4.76566075058986
"ATAD1"	-0.331794285714286	0.0804253652633125	0.000139133014104107	-4.76356793884748
"APOBEC2"	-0.491960000000001	0.0804253652633125	0.000139361818004134	-4.76283377782462
"LOC389599"	-0.438111428571428	0.0806387128104244	0.000144067791554955	-4.74799922530872
"RPL9"	-0.332219999999999	0.0806387128104244	0.00014587840674603	-4.74242229374901
"KIAA0913"	0.287874285714285	0.0806387128104244	0.000146774874835356	4.73968700395113
"ATP5F1"	-0.443862857142856	0.0806387128104244	0.000149196044329475	-4.73238345691546
"SLC25A12"	-0.590822857142857	0.0806387128104244	0.000153076914596284	-4.72092392182582
"MRPL50"	-0.310428571428571	0.0806387128104244	0.000153683410628409	-4.71915971962539
"LOC653316"	0.465674285714286	0.0806387128104244	0.000157024190543647	4.70956678759156
"PXN"	0.270691428571429	0.0806387128104244	0.000159272685120024	4.70322618109441
"DEXI"	-0.436274285714285	0.0806387128104244	0.000160634036156799	-4.6994312395594
"TP53INP2"	-0.753805714285714	0.0806387128104244	0.000162039940981405	-4.6955461859767
"MLEC"	-0.49722	0.0806387128104244	0.000162387698318951	-4.69459047332446
"EIF1B"	-0.321311428571428	0.0806387128104244	0.000164019236804551	-4.69013418932678
"FAHD1"	-0.250145714285715	0.0806387128104244	0.000165152410849522	-4.68706548291029
"PDHA1"	-0.464788571428572	0.0806387128104244	0.000166642671040796	-4.68306211087179
"LOC732165"	-0.6758	0.0806387128104244	0.000166659843020889	-4.68301619266381
"PALM2"	0.248722857142857	0.0806387128104244	0.000166996193217142	4.68211775172351
"C21orf7"	0.835742857142857	0.0817035214994471	0.000172751727052094	4.66702187616621
"RTCD1"	-0.213374285714286	0.0817035214994471	0.000173006583724904	-4.66636526999323
"SGSH"	0.354365714285714	0.0817035214994471	0.000175649204762779	4.65961411361994
"DLAT"	-0.324508571428571	0.0817035214994471	0.00017610750164709	-4.65845377769815
""	-0.232722857142857	0.0895851784417218	0.000195562398981017	-4.61182708039155
"MRPL13"	-0.331968571428571	0.0895851784417218	0.000196882180760303	-4.6088363811356
"UNC13A"	-0.27652	0.0934066951274088	0.000209122317531043	-4.5820293530594
"LIAS"	-0.330874285714286	0.0934066951274088	0.000211990111350191	-4.57597850221557
"LOC729708"	-0.743625714285714	0.0934066951274088	0.000212965387329019	-4.57393960301661
"SNRNP70"	0.662005714285714	0.0934066951274088	0.000213176177544486	4.57350017012254
"CCDC90A"	-0.429108571428571	0.0947267634865875	0.000218190634800685	-4.56317426347646
"MDH2"	-0.352168571428569	0.0956686377810127	0.000222381770760141	-4.55472639091555
